Event,Name,Team Code,Team Name,Percent
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,Poland,15.19199999999702
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,Canada,11.969999999998805
M-800-FREESTYLE-LCM,"DETTI, Gabriele",ITA,Italy,11.537999999999045
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,Italy,11.243999999999208
M-800-FREESTYLE-LCM,"AUBRY, David",FRA,France,10.98699999999935
M-800-FREESTYLE-LCM,"MCLOUGHLIN, Jack Alan",AUS,Australia,8.71400000000061
M-800-FREESTYLE-LCM,"ROMANCHUK, Mykhailo",UKR,Ukraine,8.33400000000082
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,Hungary,6.350000000000455
M-800-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,Norway,5.239000000000084
M-800-FREESTYLE-LCM,"MC BROOM, Michael",USA,United States of America,3.82199999999969
M-800-FREESTYLE-LCM,"WELLBROCK, Florian",GER,Germany,1.5899999999999357
M-800-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,1.4029999999999563
M-800-FREESTYLE-LCM,"WILIMOVSKY, Jordan",USA,United States of America,1.041999999999996
M-800-FREESTYLE-LCM,"GROTHE, Zane",USA,United States of America,0.7760000000000006
M-800-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,0.5800000000000004
M-800-FREESTYLE-LCM,"DAVIES, David",GBR,Great Britain,0.47400000000000037
M-800-FREESTYLE-LCM,"JOENSEN, Pal",FAR,Faroe Islands,0.3770000000000003
M-800-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,0.32100000000000023
M-800-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,United States of America,0.04500000000000003
M-800-FREESTYLE-LCM,"ACERENZA, Domenico",ITA,Italy,0.002
M-50-FREESTYLE-LCM,"DRAGANJA, Duje",CRO,Croatia,77.9810000000083
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,Australia,20.853000000002503
M-50-FREESTYLE-LCM,"BOVELL, George",TTO,Trinidad and Tobago,1.0919999999999905
M-50-FREESTYLE-LCM,"LEVEAUX, Amaury",FRA,France,0.07400000000000005
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,23.708000000005992
M-400-MEDLEY-LCM,"WANG, Shun",CHN,People's Republic of China,17.83899999999882
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,12.853999999998315
M-400-MEDLEY-LCM,"VERRASZTO, David",HUN,Hungary,12.815999999998336
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,United States of America,12.728999999998384
M-400-MEDLEY-LCM,"SETO, Daiya",JPN,Japan,12.711999999998394
M-400-MEDLEY-LCM,"MARCHAND, Leon",FRA,France,3.5379999999997214
M-400-MEDLEY-LCM,"LITHERLAND, Jay",USA,United States of America,2.09799999999988
M-400-MEDLEY-LCM,"MARIN, Luca",ITA,Italy,1.5569999999999393
M-400-MEDLEY-LCM,"BORODIN, Ilia",RUS,Russian Federation,0.11700000000000009
M-400-MEDLEY-LCM,"LITCHFIELD, Max",GBR,Great Britain,0.03200000000000002
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,People's Republic of China,34.60900000001004
M-400-FREESTYLE-LCM,"MELLOULI, Ous",TUN,Tunisia,26.40800000000929
