Event,Name,Team Code,Team Name,Percent
M-800-FREESTYLE-LCM,"GROTHE, Zane",USA,United States of America,11.829999999999792
M-800-FREESTYLE-LCM,"DETTI, Gabriele",ITA,Italy,7.089999999999893
M-800-FREESTYLE-LCM,"AUBRY, David",FRA,France,6.969999999999896
M-800-FREESTYLE-LCM,"MCLOUGHLIN, Jack Alan",AUS,Australia,6.369999999999909
M-800-FREESTYLE-LCM,"ROMANCHUK, Mykhailo",UKR,Ukraine,6.249999999999911
M-800-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,Norway,6.179999999999913
M-800-FREESTYLE-LCM,"MC BROOM, Michael",USA,United States of America,6.159999999999913
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,Italy,6.109999999999914
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,Canada,6.059999999999915
M-800-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,5.599999999999925
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,Hungary,5.229999999999933
M-800-FREESTYLE-LCM,"DAVIES, David",GBR,Great Britain,4.9199999999999395
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,Poland,4.90999999999994
M-800-FREESTYLE-LCM,"WELLBROCK, Florian",GER,Germany,4.469999999999949
M-800-FREESTYLE-LCM,"WILIMOVSKY, Jordan",USA,United States of America,4.099999999999957
M-800-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,2.5099999999999905
M-800-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,2.4199999999999924
M-800-FREESTYLE-LCM,"JOENSEN, Pal",FAR,Faroe Islands,2.0899999999999994
M-800-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,United States of America,0.4100000000000002
M-800-FREESTYLE-LCM,"HAFNAOUI, Ahmed",TUN,Tunisia,0.19000000000000003
M-800-FREESTYLE-LCM,"PERKINS, Kieren",AUS,Australia,0.05
M-800-FREESTYLE-LCM,"PRILUKOV, Yuriy",RUS,Russian Federation,0.04
M-800-FREESTYLE-LCM,"GRGIC, Franko",CRO,Croatia,0.03
M-800-FREESTYLE-LCM,"ACERENZA, Domenico",ITA,Italy,0.01
M-50-FREESTYLE-LCM,"LEVEAUX, Amaury",FRA,France,37.29000000000115
M-50-FREESTYLE-LCM,"BOVELL, George",TTO,Trinidad and Tobago,27.38000000000148
M-50-FREESTYLE-LCM,"SULLIVAN, Eamon",AUS,Australia,16.69999999999981
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,Australia,10.919999999999812
M-50-FREESTYLE-LCM,"TAKACS, Krisztian",HUN,Hungary,7.179999999999891
M-50-FREESTYLE-LCM,"DRAGANJA, Duje",CRO,Croatia,0.36000000000000015
M-50-FREESTYLE-LCM,"VERGANI, Andrea",ITA,Italy,0.09
M-50-FREESTYLE-LCM,"MANAUDOU, Florent",FRA,France,0.08
M-400-MEDLEY-LCM,"MARCHAND, Leon",FRA,France,27.710000000001532
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,13.269999999999762
M-400-MEDLEY-LCM,"CLAREBURT, Lewis",NZL,New Zealand,10.579999999999819
M-400-MEDLEY-LCM,"SETO, Daiya",JPN,Japan,10.03999999999983
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,United States of America,9.729999999999837
M-400-MEDLEY-LCM,"VERRASZTO, David",HUN,Hungary,6.179999999999913
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,5.759999999999922
M-400-MEDLEY-LCM,"LITHERLAND, Jay",USA,United States of America,5.739999999999922
