Event,Name,Team,Percent
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,16.0
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,12.0
M-800-FREESTYLE-LCM,"AUBRY, David",FRA,11.0
M-800-FREESTYLE-LCM,"DETTI, Gabriele",ITA,11.0
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,7.0
M-800-FREESTYLE-LCM,"MCLOUGHLIN, Jack Alan",AUS,7.0
M-800-FREESTYLE-LCM,"ROMANCHUK, Mykhailo",UKR,7.0
M-800-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,5.0
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,5.0
M-800-FREESTYLE-LCM,"GROTHE, Zane",USA,4.0
M-800-FREESTYLE-LCM,"MC BROOM, Michael",USA,4.0
M-800-FREESTYLE-LCM,"HORTON, Mack",AUS,3.0
M-800-FREESTYLE-LCM,"JAEGER, Connor",USA,3.0
M-800-FREESTYLE-LCM,"JOENSEN, Pal",FAR,2.0
M-800-FREESTYLE-LCM,"JENSEN, Larsen",USA,1.0
M-800-FREESTYLE-LCM,"WELLBROCK, Florian",GER,1.0
M-800-FREESTYLE-LCM,"WILIMOVSKY, Jordan",USA,1.0
M-50-FREESTYLE-LCM,"LEVEAUX, Amaury",FRA,63.0
M-50-FREESTYLE-LCM,"DRAGANJA, Duje",CRO,19.0
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,9.0
M-50-FREESTYLE-LCM,"BOVELL, George",TTO,6.0
M-50-FREESTYLE-LCM,"SULLIVAN, Eamon",AUS,3.0
M-400-MEDLEY-LCM,"MARCHAND, Leon",FRA,20.0
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,16.0
M-400-MEDLEY-LCM,"VERRASZTO, David",HUN,16.0
M-400-MEDLEY-LCM,"SETO, Daiya",JPN,13.0
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,10.0
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,10.0
M-400-MEDLEY-LCM,"LITHERLAND, Jay",USA,7.0
M-400-MEDLEY-LCM,"WANG, Shun",CHN,5.0
M-400-MEDLEY-LCM,"MARIN, Luca",ITA,2.0
M-400-MEDLEY-LCM,"BORODIN, Ilia",RUS,1.0
M-400-FREESTYLE-LCM,"JENSEN, Larsen",USA,38.0
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,21.0
M-400-FREESTYLE-LCM,"HORTON, Mack",AUS,13.0
M-400-FREESTYLE-LCM,"MELLOULI, Ous",TUN,9.0
M-400-FREESTYLE-LCM,"PARK, Taehwan",KOR,6.0
M-400-FREESTYLE-LCM,"HACKETT, Grant",AUS,5.0
M-400-FREESTYLE-LCM,"ROSOLINO, Massimiliano",ITA,4.0
M-400-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,2.0
M-400-FREESTYLE-LCM,"WINNINGTON, Elijah",AUS,2.0
M-200-MEDLEY-LCM,"CSEH, Laszlo",HUN,29.0
M-200-MEDLEY-LCM,"ANDREW, Michael",USA,17.0
M-200-MEDLEY-LCM,"GONZALEZ, Hugo",ESP,14.0
M-200-MEDLEY-LCM,"SHANTEAU, Eric",USA,13.0
M-200-MEDLEY-LCM,"KALISZ, Chase",USA,10.0
M-200-MEDLEY-LCM,"HEINTZ, Philip",GER,6.0
M-200-MEDLEY-LCM,"SCOTT, Duncan",GBR,6.0
M-200-MEDLEY-LCM,"LARKIN, Mitchell",AUS,4.0
M-200-MEDLEY-LCM,"PEREIRA, Thiago",BRA,1.0
M-200-FREESTYLE-LCM,"BERENS, Richard",USA,36.0
M-200-FREESTYLE-LCM,"HWANG, Sunwoo",KOR,28.0
M-200-FREESTYLE-LCM,"PARK, Taehwan",KOR,13.0
M-200-FREESTYLE-LCM,"LOCHTE, Ryan",USA,9.0
M-200-FREESTYLE-LCM,"SUN, Yang",CHN,8.0
M-200-FREESTYLE-LCM,"DEAN, Tom",GBR,3.0
