Event,Name,Team,Percent
M-800-FREESTYLE-LCM,"GROTHE, Zane",USA,15.0
M-800-FREESTYLE-LCM,"MCLOUGHLIN, Jack Alan",AUS,11.0
M-800-FREESTYLE-LCM,"JAEGER, Connor",USA,9.0
M-800-FREESTYLE-LCM,"WELLBROCK, Florian",GER,8.0
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,7.0
M-800-FREESTYLE-LCM,"MC BROOM, Michael",USA,7.0
M-800-FREESTYLE-LCM,"AUBRY, David",FRA,6.0
M-800-FREESTYLE-LCM,"DAVIES, David",GBR,6.0
M-800-FREESTYLE-LCM,"DETTI, Gabriele",ITA,6.0
M-800-FREESTYLE-LCM,"ROMANCHUK, Mykhailo",UKR,6.0
M-800-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,3.0
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,3.0
M-800-FREESTYLE-LCM,"HORTON, Mack",AUS,3.0
M-800-FREESTYLE-LCM,"WILIMOVSKY, Jordan",USA,3.0
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,3.0
M-800-FREESTYLE-LCM,"JENSEN, Larsen",USA,2.0
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,1.0
M-800-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,1.0
M-50-FREESTYLE-LCM,"LEVEAUX, Amaury",FRA,37.0
M-50-FREESTYLE-LCM,"BOVELL, George",TTO,28.0
M-50-FREESTYLE-LCM,"SULLIVAN, Eamon",AUS,20.0
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,11.0
M-50-FREESTYLE-LCM,"TAKACS, Krisztian",HUN,3.0
M-50-FREESTYLE-LCM,"MANAUDOU, Florent",FRA,1.0
M-400-MEDLEY-LCM,"MARCHAND, Leon",FRA,26.0
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,17.0
M-400-MEDLEY-LCM,"CLAREBURT, Lewis",NZL,13.0
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,10.0
M-400-MEDLEY-LCM,"SETO, Daiya",JPN,8.0
M-400-MEDLEY-LCM,"VERRASZTO, David",HUN,7.0
M-400-MEDLEY-LCM,"LITHERLAND, Jay",USA,5.0
M-400-MEDLEY-LCM,"MARIN, Luca",ITA,5.0
M-400-MEDLEY-LCM,"WANG, Shun",CHN,4.0
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,3.0
M-400-MEDLEY-LCM,"BORODIN, Ilia",RUS,2.0
M-400-FREESTYLE-LCM,"JENSEN, Larsen",USA,33.0
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,14.0
M-400-FREESTYLE-LCM,"ROSOLINO, Massimiliano",ITA,12.0
M-400-FREESTYLE-LCM,"HORTON, Mack",AUS,9.0
M-400-FREESTYLE-LCM,"MELLOULI, Ous",TUN,7.0
M-400-FREESTYLE-LCM,"PARK, Taehwan",KOR,7.0
M-400-FREESTYLE-LCM,"HACKETT, Grant",AUS,4.0
M-400-FREESTYLE-LCM,"LOBINTSEV, Nikita",RUS,4.0
M-400-FREESTYLE-LCM,"VANDERKAAY, Peter",USA,4.0
M-400-FREESTYLE-LCM,"WINNINGTON, Elijah",AUS,3.0
M-400-FREESTYLE-LCM,"DWYER, Conor",USA,2.0
M-400-FREESTYLE-LCM,"PERKINS, Kieren",AUS,1.0
M-200-MEDLEY-LCM,"CSEH, Laszlo",HUN,18.0
M-200-MEDLEY-LCM,"SCOTT, Duncan",GBR,18.0
M-200-MEDLEY-LCM,"HEINTZ, Philip",GER,15.0
M-200-MEDLEY-LCM,"LARKIN, Mitchell",AUS,13.0
M-200-MEDLEY-LCM,"GONZALEZ, Hugo",ESP,12.0
M-200-MEDLEY-LCM,"ANDREW, Michael",USA,10.0
M-200-MEDLEY-LCM,"KALISZ, Chase",USA,9.0
M-200-MEDLEY-LCM,"SETO, Daiya",JPN,2.0
M-200-MEDLEY-LCM,"SHANTEAU, Eric",USA,2.0
M-200-MEDLEY-LCM,"PEREIRA, Thiago",BRA,1.0
M-200-FREESTYLE-LCM,"HWANG, Sunwoo",KOR,37.0
M-200-FREESTYLE-LCM,"PARK, Taehwan",KOR,25.0
M-200-FREESTYLE-LCM,"BERENS, Richard",USA,21.0
M-200-FREESTYLE-LCM,"SUN, Yang",CHN,8.0
M-200-FREESTYLE-LCM,"DEAN, Tom",GBR,7.0
M-200-FREESTYLE-LCM,"LOCHTE, Ryan",USA,1.0
M-200-FREESTYLE-LCM,"SCOTT, Duncan",GBR,1.0
M-200-BUTTERFLY-LCM,"SWITKOWSKI, Jan",POL,33.0
M-200-BUTTERFLY-LCM,"URLANDO, Luca",USA,28.0
M-200-BUTTERFLY-LCM,"HOROMURA, Nao",JPN,15.0
M-200-BUTTERFLY-LCM,"KORZENIOWSKI, Pawel",POL,9.0
M-200-BUTTERFLY-LCM,"SAKAI, Masato",JPN,6.0
M-200-BUTTERFLY-LCM,"BURMESTER, Moss",NZL,5.0
M-200-BUTTERFLY-LCM,"KENDERESI, Tamas",HUN,4.0
M-200-BREASTSTROKE-LCM,"SHANTEAU, Eric",USA,22.0
M-200-BREASTSTROKE-LCM,"PRENOT, Josh",USA,20.0
M-200-BREASTSTROKE-LCM,"SPRENGER, Christian",AUS,18.0
M-200-BREASTSTROKE-LCM,"KAMMINGA, Arno",NED,11.0
M-200-BREASTSTROKE-LCM,"WATANABE, Ippei",JPN,9.0
M-200-BREASTSTROKE-LCM,"SATO, Shoma",JPN,6.0
M-200-BREASTSTROKE-LCM,"YAMAGUCHI, Akihiro",JPN,5.0
M-200-BREASTSTROKE-LCM,"GYURTA, Daniel",HUN,4.0
M-200-BREASTSTROKE-LCM,"WILSON, Matthew",AUS,3.0
M-200-BREASTSTROKE-LCM,"KOSEKI, Yasuhiro",JPN,1.0
M-200-BREASTSTROKE-LCM,"QIN, Haiyang",CHN,1.0
M-200-BACKSTROKE-LCM,"GREENBANK, Luke",GBR,30.0
M-200-BACKSTROKE-LCM,"RYLOV, Evgeny",RUS,16.0
M-200-BACKSTROKE-LCM,"MURPHY, Ryan",USA,14.0
M-200-BACKSTROKE-LCM,"LARKIN, Mitchell",AUS,11.0
M-200-BACKSTROKE-LCM,"CLARY, Tyler",USA,8.0
M-200-BACKSTROKE-LCM,"LOCHTE, Ryan",USA,8.0
M-200-BACKSTROKE-LCM,"HAGINO, Kosuke",JPN,7.0
M-200-BACKSTROKE-LCM,"MEFFORD, Bryce",USA,3.0
M-200-BACKSTROKE-LCM,"XU, Jiayu",CHN,2.0
M-200-BACKSTROKE-LCM,"KAWECKI, Radoslaw",POL,1.0
M-1500-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,10.0
M-1500-FREESTYLE-LCM,"MELLOULI, Ous",TUN,10.0
M-1500-FREESTYLE-LCM,"HACKETT, Grant",AUS,9.0
M-1500-FREESTYLE-LCM,"PALTRINIERI, Gregorio",ITA,6.0
M-1500-FREESTYLE-LCM,"PERKINS, Kieren",AUS,6.0
M-1500-FREESTYLE-LCM,"SAWRYMOWICZ, Mateusz",POL,6.0
M-1500-FREESTYLE-LCM,"WELLBROCK, Florian",GER,6.0
M-1500-FREESTYLE-LCM,"DAVIES, David",GBR,5.0
M-1500-FREESTYLE-LCM,"JAEGER, Connor",USA,5.0
M-1500-FREESTYLE-LCM,"JOENSEN, Pal",FAR,5.0
M-1500-FREESTYLE-LCM,"AUBRY, David",FRA,4.0
M-1500-FREESTYLE-LCM,"PRILUKOV, Yuriy",RUS,4.0
M-1500-FREESTYLE-LCM,"WILIMOVSKY, Jordan",USA,4.0
M-1500-FREESTYLE-LCM,"DETTI, Gabriele",ITA,3.0
M-1500-FREESTYLE-LCM,"HORTON, Mack",AUS,3.0
M-1500-FREESTYLE-LCM,"MCLOUGHLIN, Jack Alan",AUS,3.0
M-1500-FREESTYLE-LCM,"ROMANCHUK, Mykhailo",UKR,3.0
M-1500-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,2.0
M-1500-FREESTYLE-LCM,"JERVIS, Daniel",GBR,2.0
M-1500-FREESTYLE-LCM,"PARK, Taehwan",KOR,2.0
M-1500-FREESTYLE-LCM,"JENSEN, Larsen",USA,1.0
M-1500-FREESTYLE-LCM,"KIS, Gergo",HUN,1.0
M-100-FREESTYLE-LCM,"HELD, Ryan",USA,49.0
M-100-FREESTYLE-LCM,"SULLIVAN, Eamon",AUS,18.0
M-100-FREESTYLE-LCM,"BERNARD, Alain",FRA,13.0
M-100-FREESTYLE-LCM,"BOUSQUET, Frederick",FRA,12.0
M-100-FREESTYLE-LCM,"DRESSEL, Caeleb",USA,3.0
M-100-FREESTYLE-LCM,"CHALMERS, Kyle",AUS,2.0
M-100-FREESTYLE-LCM,"KOLESNIKOV, Kliment",RUS,2.0
M-100-FREESTYLE-LCM,"WALTERS, David",USA,1.0
M-100-BUTTERFLY-LCM,"SUBIRATS, Albert",VEN,47.0
M-100-BUTTERFLY-LCM,"CODIA, Piero",ITA,31.0
M-100-BUTTERFLY-LCM,"ROONEY, Maxime",USA,19.0
M-100-BUTTERFLY-LCM,"ANDREW, Michael",USA,2.0
M-100-BUTTERFLY-LCM,"CROCKER, Ian",USA,1.0
