Event,Name,Team,Percent
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,30.0
M-800-FREESTYLE-LCM,"AUBRY, David",FRA,20.0
M-800-FREESTYLE-LCM,"COCHRANE, Ryan",CAN,20.0
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,20.0
M-800-FREESTYLE-LCM,"ROMANCHUK, Mykhailo",UKR,10.0
M-50-FREESTYLE-LCM,"DRAGANJA, Duje",CRO,60.0
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,40.0
M-400-MEDLEY-LCM,"WANG, Shun",CHN,30.0
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,20.0
M-400-MEDLEY-LCM,"SETO, Daiya",JPN,20.0
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,10.0
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,10.0
M-400-MEDLEY-LCM,"VERRASZTO, David",HUN,10.0
M-400-FREESTYLE-LCM,"MELLOULI, Ous",TUN,40.0
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,30.0
M-400-FREESTYLE-LCM,"HORTON, Mack",AUS,20.0
M-400-FREESTYLE-LCM,"PERKINS, Kieren",AUS,10.0
M-200-MEDLEY-LCM,"KALISZ, Chase",USA,30.0
M-200-MEDLEY-LCM,"ANDREW, Michael",USA,20.0
M-200-MEDLEY-LCM,"CSEH, Laszlo",HUN,20.0
M-200-MEDLEY-LCM,"GONZALEZ, Hugo",ESP,10.0
M-200-MEDLEY-LCM,"LARKIN, Mitchell",AUS,10.0
M-200-MEDLEY-LCM,"SHANTEAU, Eric",USA,10.0
M-200-FREESTYLE-LCM,"BERENS, Richard",USA,30.0
M-200-FREESTYLE-LCM,"DEAN, Tom",GBR,30.0
M-200-FREESTYLE-LCM,"PARK, Taehwan",KOR,30.0
M-200-FREESTYLE-LCM,"SUN, Yang",CHN,10.0
M-200-BUTTERFLY-LCM,"KORZENIOWSKI, Pawel",POL,40.0
M-200-BUTTERFLY-LCM,"URLANDO, Luca",USA,30.0
M-200-BUTTERFLY-LCM,"HOROMURA, Nao",JPN,20.0
M-200-BUTTERFLY-LCM,"SAKAI, Masato",JPN,10.0
M-200-BREASTSTROKE-LCM,"SATO, Shoma",JPN,50.0
M-200-BREASTSTROKE-LCM,"WILSON, Matthew",AUS,20.0
M-200-BREASTSTROKE-LCM,"KAMMINGA, Arno",NED,10.0
M-200-BREASTSTROKE-LCM,"PRENOT, Josh",USA,10.0
M-200-BREASTSTROKE-LCM,"SPRENGER, Christian",AUS,10.0
M-200-BACKSTROKE-LCM,"LOCHTE, Ryan",USA,50.0
M-200-BACKSTROKE-LCM,"GREENBANK, Luke",GBR,30.0
M-200-BACKSTROKE-LCM,"MURPHY, Ryan",USA,10.0
M-200-BACKSTROKE-LCM,"RYLOV, Evgeny",RUS,10.0
