Event,Name,Team Code,Team Name,Percent
M-800-FREESTYLE-LCM,"DETTI, Gabriele",ITA,Italy,30.0
M-800-FREESTYLE-LCM,"COLBERTALDO, Federico",ITA,Italy,20.0
M-800-FREESTYLE-LCM,"AUBRY, David",FRA,France,10.0
M-800-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,10.0
M-800-FREESTYLE-LCM,"KIS, Gergo",HUN,Hungary,10.0
M-800-FREESTYLE-LCM,"MCLOUGHLIN, Jack Alan",AUS,Australia,10.0
M-800-FREESTYLE-LCM,"WOJDAK, Wojciech",POL,Poland,10.0
M-50-FREESTYLE-LCM,"DRAGANJA, Duje",CRO,Croatia,40.0
M-50-FREESTYLE-LCM,"LEVEAUX, Amaury",FRA,France,30.0
M-50-FREESTYLE-LCM,"CALLUS, Ashley",AUS,Australia,20.0
M-50-FREESTYLE-LCM,"BOVELL, George",TTO,Trinidad and Tobago,10.0
M-400-MEDLEY-LCM,"CLAREBURT, Lewis",NZL,New Zealand,30.0
M-400-MEDLEY-LCM,"MARIN, Luca",ITA,Italy,20.0
M-400-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,20.0
M-400-MEDLEY-LCM,"CLARY, Tyler",USA,United States of America,10.0
M-400-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,10.0
M-400-MEDLEY-LCM,"LITHERLAND, Jay",USA,United States of America,10.0
M-400-FREESTYLE-LCM,"JENSEN, Larsen",USA,United States of America,40.0
M-400-FREESTYLE-LCM,"HORTON, Mack",AUS,Australia,20.0
M-400-FREESTYLE-LCM,"ZHANG, Lin",CHN,People's Republic of China,20.0
M-400-FREESTYLE-LCM,"HACKETT, Grant",AUS,Australia,10.0
M-400-FREESTYLE-LCM,"MELLOULI, Ous",TUN,Tunisia,10.0
M-200-MEDLEY-LCM,"CSEH, Laszlo",HUN,Hungary,40.0
M-200-MEDLEY-LCM,"SCOTT, Duncan",GBR,Great Britain,20.0
M-200-MEDLEY-LCM,"ANDREW, Michael",USA,United States of America,10.0
M-200-MEDLEY-LCM,"GONZALEZ, Hugo",ESP,Spain,10.0
M-200-MEDLEY-LCM,"LARKIN, Mitchell",AUS,Australia,10.0
M-200-MEDLEY-LCM,"PEREIRA, Thiago",BRA,Brazil,10.0
M-200-FREESTYLE-LCM,"BERENS, Richard",USA,United States of America,40.0
M-200-FREESTYLE-LCM,"PARK, Taehwan",KOR,Republic of Korea,30.0
M-200-FREESTYLE-LCM,"HWANG, Sunwoo",KOR,Republic of Korea,10.0
M-200-FREESTYLE-LCM,"LEWIS, Clyde",AUS,Australia,10.0
M-200-FREESTYLE-LCM,"LOCHTE, Ryan",USA,United States of America,10.0
M-200-BUTTERFLY-LCM,"KORZENIOWSKI, Pawel",POL,Poland,40.0
M-200-BUTTERFLY-LCM,"SWITKOWSKI, Jan",POL,Poland,30.0
M-200-BUTTERFLY-LCM,"URLANDO, Luca",USA,United States of America,20.0
M-200-BUTTERFLY-LCM,"HOROMURA, Nao",JPN,Japan,10.0
M-200-BREASTSTROKE-LCM,"SATO, Shoma",JPN,Japan,30.0
M-200-BREASTSTROKE-LCM,"PRENOT, Josh",USA,United States of America,20.0
M-200-BREASTSTROKE-LCM,"YAMAGUCHI, Akihiro",JPN,Japan,20.0
M-200-BREASTSTROKE-LCM,"KAMMINGA, Arno",NED,Netherlands,10.0
M-200-BREASTSTROKE-LCM,"SPRENGER, Christian",AUS,Australia,10.0
M-200-BREASTSTROKE-LCM,"WILSON, Matthew",AUS,Australia,10.0
M-200-BACKSTROKE-LCM,"RYLOV, Evgeny",RUS,Russian Federation,40.0
M-200-BACKSTROKE-LCM,"GREENBANK, Luke",GBR,Great Britain,30.0
M-200-BACKSTROKE-LCM,"LARKIN, Mitchell",AUS,Australia,20.0
M-200-BACKSTROKE-LCM,"CLARY, Tyler",USA,United States of America,10.0
M-1500-FREESTYLE-LCM,"HACKETT, Grant",AUS,Australia,20.0
M-1500-FREESTYLE-LCM,"PALTRINIERI, Gregorio",ITA,Italy,20.0
M-1500-FREESTYLE-LCM,"CHRISTIANSEN, Henrik",NOR,Norway,10.0
M-1500-FREESTYLE-LCM,"DETTI, Gabriele",ITA,Italy,10.0
M-1500-FREESTYLE-LCM,"JAEGER, Connor",USA,United States of America,10.0
M-1500-FREESTYLE-LCM,"MELLOULI, Ous",TUN,Tunisia,10.0
M-1500-FREESTYLE-LCM,"PERKINS, Kieren",AUS,Australia,10.0
M-1500-FREESTYLE-LCM,"WELLBROCK, Florian",GER,Germany,10.0
M-100-FREESTYLE-LCM,"HELD, Ryan",USA,United States of America,40.0
M-100-FREESTYLE-LCM,"SULLIVAN, Eamon",AUS,Australia,30.0
